position,person,personID,start,end
Ngwenyama (King),Mswati III,Q57340,1986-04-25,
Prime Minister,Barnabas Sibusiso Dlamini,Q57715,1996-07-26,2003-09-29
Prime Minister,Themba Dlamini,Q331724,2003-11-26,2008-09-18
Prime Minister,Barnabas Sibusiso Dlamini,Q57715,2008-10-23,2018-09-04
Prime Minister,Ambrose Mandvulo Dlamini,Q57973856,2018-10-27,2020-12-13
Prime Minister,Themba Nhlanganiso Masuku,Q16973942,2020-12-13,2021-07-19
Prime Minister,Cleopas Dlamini,Q107600891,2021-07-16,
Minister of Finance,Majozi Sithole,Q19380887,2001,2013-11-07
Minister of Finance,Neal Rijkenberg,Q86753035,2018-11,
Minister of Foreign Affairs,Albert Nhlanhla Shabangu,Q108461960,1998,2001
Minister of Foreign Affairs,Abednego Ntshangase,Q108461961,2001,2003
Minister of Foreign Affairs,Roy Fanourakis,Q108461963,2003,2003
Minister of Foreign Affairs,Mabili Dlamini,Q108461964,2003,2006
Minister of Foreign Affairs,Mtiti Fakudze,Q108461965,2011,2013
Minister of Foreign Affairs,Mgwagwa Gamedze,Q108461966,2013,2018
Minister of Foreign Affairs,Thuli Dladla,Q64747413,2018-11-02,
